date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1970-02-28,England,Wales,13,17,1970 Five Nations Championship,Twickenham,London,England,False,False
1970-03-14,Ireland,Wales,14,0,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1970-04-04,Wales,France,11,6,1970 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1970-04-18,France,England,35,13,1970 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1970-06-06,Australia,Scotland,23,3,1970 Scotland tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1970-07-25,South Africa,New Zealand,17,6,1970 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
1970-08-08,South Africa,New Zealand,8,9,1970 New Zealand tour,Newlands,Cape Town,South Africa,False,False
1970-08-29,South Africa,New Zealand,14,3,1970 New Zealand tour,Boet Erasmus Stadium,Port Elizabeth,South Africa,False,False
1970-09-12,South Africa,New Zealand,20,17,1970 New Zealand tour,Ellis Park,Johannesburg,South Africa,False,False
1971-01-16,France,Scotland,13,8,1971 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1971-01-16,Wales,England,22,6,1971 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1971-01-30,Ireland,France,9,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1971-02-06,Scotland,Wales,18,19,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1971-02-13,Ireland,England,6,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1971-02-27,Scotland,Ireland,5,17,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1971-02-27,England,France,14,14,1971 Five Nations Championship,Twickenham,London,England,False,False
1971-03-13,Wales,Ireland,23,9,1971 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1971-03-20,England,Scotland,15,16,1971 Five Nations Championship,Twickenham Stadium,London,England,False,False
1971-03-27,Scotland,England,26,6,Rugby Union Centenary International,Murrayfield Stadium,Edinburgh,Scotland,False,False
1971-03-27,France,Wales,5,9,1971 Five Nations Championship,Stade Colombes,Paris,France,False,False
1971-06-12,South Africa,France,22,9,1971 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False
1971-06-19,South Africa,France,8,8,1971 France rugby union tour of South Africa,Kings Park,Durban,South Africa,False,False
1971-07-17,Australia,South Africa,11,19,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1971-07-31,Australia,South Africa,6,14,1971 South Africa tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,False,False
1971-08-07,Australia,South Africa,6,18,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1971-11-20,France,Australia,11,13,1971 Australia tour of France,Stadium Municipal,Toulouse,France,False,False
1971-11-27,France,Australia,18,9,1971 Australia tour of France,Stade Yves-du-Manoir,Colombes,France,False,False
1972-01-15,England,Wales,3,12,1972 Five Nations Championship,Twickenham,London,England,False,False
1972-01-15,Scotland,France,20,9,1972 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1972-01-29,France,Ireland,9,14,1972 Five Nations Championship,Colombes,Paris,France,False,False
1972-02-05,Wales,Scotland,35,12,1972 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1972-02-12,England,Ireland,12,16,1972 Five Nations Championship,Twickenham,London,England,False,False
1972-02-26,France,England,37,12,1972 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
