date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1990-08-18,New Zealand,Australia,9,21,1990 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1990-10-27,Ireland,Argentina,20,18,1990 Argentina rugby union tour of British Isles,Lansdowne Road,Dublin,Ireland,False,False
1990-11-03,France,New Zealand,3,24,1990 New Zealand tour of France,Stade de la Beaujoire,Nantes,France,False,False
1990-11-03,England,Argentina,51,0,1990 Argentina tour of Great Britain and Ireland,Twickenham,London,England,False,False
1990-11-10,Scotland,Argentina,49,3,1990 Argentina tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland,False,False
1990-11-10,France,New Zealand,12,30,1990 New Zealand tour of France,Parc des Princes,Paris,France,False,False
1991-01-19,France,Scotland,15,9,1991 Five Nations Championship,Parc des Princes,Paris,France,False,False
1991-01-19,Wales,England,6,25,1991 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1991-02-02,Scotland,Wales,32,12,1991 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1991-02-02,Ireland,France,13,21,1991 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1991-02-16,England,Scotland,21,12,1991 Five Nations Championship,Twickenham Stadium,London,England,False,False
1991-02-16,Wales,Ireland,21,21,1991 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1991-03-02,France,Wales,36,3,1991 Five Nations Championship,Parc des Princes,Paris,France,False,False
1991-03-02,Ireland,England,7,16,1991 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1991-03-16,Scotland,Ireland,28,25,1991 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1991-03-16,England,France,21,19,1991 Five Nations Championship,Twickenham,London,England,False,False
1991-07-06,Argentina,New Zealand,14,28,1991 New Zealand tour of Argentina,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
1991-07-13,Argentina,New Zealand,6,36,1991 New Zealand tour of Argentina,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
1991-07-22,Australia,Wales,63,6,1991 Wales tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1991-07-27,Australia,England,40,15,1991 England tour of Australia and Fiji,Sydney Football Stadium,Sydney,Australia,False,False
1991-08-10,Australia,New Zealand,21,12,1991 New Zealand tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1991-08-24,New Zealand,Australia,6,3,1991 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
1991-09-04,Wales,France,9,22,1991 Rugby World Cup warm-up match,National Stadium,Cardiff,Wales,False,False
1991-10-03,England,New Zealand,12,18,1991 Rugby World Cup Pool Stage,Twickenham,London,England,False,True
1991-10-04,Scotland,Ireland,24,15,1991 Rugby World Cup,Murrayfield Stadium,Edinburgh,Scotland,False,True
1991-10-04,Australia,Argentina,32,19,1991 Rugby World Cup Pool match,Stradey Park,Llanelli,Wales,True,True
1991-10-08,England,Italy,36,6,1991 Rugby World Cup Pool Stage,Twickenham,London,England,False,True
1991-10-09,Wales,Argentina,16,7,1991 Rugby World Cup Pool match,National Stadium,Cardiff,Wales,False,True
1991-10-12,Wales,Australia,3,38,1991 Rugby World Cup Pool match,National Stadium,Cardiff,Wales,False,True
1991-10-13,New Zealand,Italy,31,21,1991 Rugby World Cup,Welford Road Stadium,Leicester,England,True,True
1991-10-19,France,England,10,19,1991 Rugby World Cup quarter-final,Parc des Princes,Paris,France,False,True
1991-10-20,Ireland,Australia,18,19,1991 Rugby World Cup Quarter-final,Lansdowne Road,Dublin,Ireland,False,True
1991-10-26,Scotland,England,6,9,1991 Rugby World Cup Semi-Final,Murrayfield Stadium,Edinburgh,Scotland,False,True
1991-10-27,New Zealand,Australia,6,16,1991 Rugby World Cup Semi-final,Lansdowne Road,Dublin,Ireland,True,True
1991-10-30,New Zealand,Scotland,13,6,1991 Rugby World Cup Third Place Match,National Stadium,Cardiff,Wales,True,True
1991-11-02,England,Australia,6,12,1991 Rugby World Cup Final,Twickenham Stadium,London,England,False,True
1992-01-18,Ireland,Wales,15,16,1992 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1992-01-18,Scotland,England,7,25,1992 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1992-02-01,Wales,France,9,12,1992 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1992-02-01,England,Ireland,38,9,1992 Five Nations Championship,Twickenham,London,England,False,False
1992-02-15,France,England,13,31,1992 Five Nations Championship,Parc des Princes,Paris,France,False,False
1992-02-15,Ireland,Scotland,10,18,1992 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1992-03-07,England,Wales,24,0,1992 Five Nations Championship,Twickenham,London,England,False,False
1992-03-07,Scotland,France,10,6,1992 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1992-03-21,France,Ireland,44,12,1992 Five Nations Championship,Parc des Princes,Paris,France,False,False
1992-03-21,Wales,Scotland,15,12,1992 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1992-05-30,New Zealand,Ireland,24,21,1992 Ireland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False
1992-06-06,New Zealand,Ireland,59,6,1992 Ireland rugby union tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1992-06-13,Australia,Scotland,27,12,1992 Scotland tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1992-06-21,Australia,Scotland,37,13,1992 Scotland tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1992-07-04,Australia,New Zealand,16,15,1992 New Zealand tour of Australia and South Africa,Sydney Football Stadium,Sydney,Australia,False,False
1992-07-04,Argentina,France,12,27,1992 France tour of Argentina,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
1992-07-11,Argentina,France,9,33,1992 France tour of Argentina,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
1992-07-19,Australia,New Zealand,19,17,1992 New Zealand tour of Australia and South Africa,Ballymore Stadium,Brisbane,Australia,False,False
1992-07-25,Australia,New Zealand,23,26,1992 New Zealand tour of Australia and South Africa,Sydney Football Stadium,Sydney,Australia,False,False
1992-08-15,South Africa,New Zealand,24,27,1992 New Zealand tour,Ellis Park,Johannesburg,South Africa,False,False
1992-08-29,South Africa,Australia,3,26,1992 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,False,False
1992-10-17,France,South Africa,15,20,1992 South Africa rugby union tour of France and England,Stade de Gerland,Lyon,France,False,False
1992-10-24,France,South Africa,29,16,1992 South Africa rugby union tour of France and England,Parc des Princes,Paris,France,False,False
1992-10-31,Ireland,Australia,17,42,1992 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False
1992-11-14,France,Argentina,20,24,1992 Argentina tour of Europe,Stade de la Beaujoire,Nantes,France,False,False
1992-11-14,England,South Africa,33,16,1992 South Africa rugby union tour of France and England,Twickenham,London,England,False,False
1992-11-21,Wales,Australia,6,23,1992 Australia tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,False,False
1993-01-16,Scotland,Ireland,15,3,1993 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1993-01-16,England,France,16,15,1993 Five Nations Championship,Twickenham,London,England,False,False
1993-02-06,Wales,England,10,9,1993 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1993-02-06,France,Scotland,11,3,1993 Five Nations Championship,Parc des Princes,Paris,France,False,False
1993-02-20,Ireland,France,6,21,1993 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1993-02-20,Scotland,Wales,20,0,1993 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1993-03-06,Wales,Ireland,14,19,1993 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1993-03-06,England,Scotland,26,12,1993 Five Nations Championship,Twickenham Stadium,London,England,False,False
1993-03-20,Ireland,England,17,3,1993 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1993-03-20,France,Wales,26,10,1993 Five Nations Championship,Parc des Princes,Paris,France,False,False
1993-06-26,South Africa,France,20,20,1993 France rugby union tour of South Africa,Kings Park,Durban,South Africa,False,False
1993-07-03,South Africa,France,17,18,1993 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,False,False
1993-07-17,New Zealand,Australia,25,10,1993 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False
1993-07-31,Australia,South Africa,12,19,1993 South Africa tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1993-08-14,Australia,South Africa,28,20,1993 South Africa tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1993-08-21,Australia,South Africa,19,12,1993 South Africa tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1993-10-30,France,Australia,16,13,1993 Australia tour of France and North America,Stade Municipal,Bordeaux,France,False,False
1993-11-06,France,Australia,3,24,1993 Australia tour of France and North America,Parc des Princes,Paris,France,False,False
1993-11-06,Argentina,South Africa,26,29,1993 South Africa tour of Argentina,FC Oeste,Buenos Aires,Argentina,False,False
1993-11-13,Argentina,South Africa,23,52,1993 South Africa tour of Argentina,FC Oeste,Buenos Aires,Argentina,False,False
1993-11-20,Scotland,New Zealand,15,51,1993 New Zealand tour of Britain,Murrayfield,Edinburgh,Scotland,False,False
1993-11-27,England,New Zealand,15,9,1993 New Zealand rugby union tour of Britain,Twickenham,London,England,False,False
1994-01-15,France,Ireland,35,15,1994 Five Nations Championship,Parc des Princes,Paris,France,False,False
1994-01-15,Wales,Scotland,29,6,1994 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1994-02-05,Scotland,England,14,15,1994 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1994-02-05,Ireland,Wales,15,17,1994 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1994-02-19,England,Ireland,12,13,1994 Five Nations Championship,Twickenham,London,England,False,False
1994-02-19,Wales,France,24,15,1994 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1994-03-05,Ireland,Scotland,6,6,1994 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1994-03-05,France,England,14,18,1994 Five Nations Championship,Parc des Princes,Paris,France,False,False
1994-03-19,Scotland,France,12,20,1994 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1994-03-19,England,Wales,15,8,1994 Five Nations Championship,Twickenham,London,England,False,False
1994-06-04,Argentina,Scotland,16,15,1994 Scotland tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,False,False
1994-06-04,South Africa,England,15,32,1994 England rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,False,False
1994-06-05,Australia,Ireland,33,13,1994 Ireland tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1994-06-11,South Africa,England,27,9,1994 England rugby union tour of South Africa,Newlands,Cape Town,South Africa,False,False
1994-06-11,Argentina,Scotland,19,17,1994 Scotland tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,False,False
1994-06-11,Australia,Ireland,32,18,1994 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1994-06-18,Australia,Italy,23,20,1994 Italy tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1994-06-25,Australia,Italy,20,7,1994 Italy tour of Australia,Olympic Park Stadium,Melbourne,Australia,False,False
1994-06-26,New Zealand,France,8,22,1994 French tour,Lancaster Park,Christchurch,New Zealand,False,False
1994-07-03,New Zealand,France,20,23,1994 French tour,Eden Park,Auckland,New Zealand,False,False
1994-07-09,New Zealand,South Africa,22,14,1994 South Africa tour,Carisbrook,Dunedin,New Zealand,False,False
1994-07-23,New Zealand,South Africa,13,9,1994 South Africa tour,Athletic Park,Wellington,New Zealand,False,False
1994-08-06,New Zealand,South Africa,18,18,1994 South Africa tour,Eden Park,Auckland,New Zealand,False,False
1994-08-17,Australia,New Zealand,20,16,1994 New Zealand tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1994-10-08,South Africa,Argentina,42,22,1994 Argentina tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa,False,False
1994-10-12,Wales,Italy,29,19,,National Stadium,Cardiff,Wales,False,False
1994-10-15,South Africa,Argentina,46,26,1994 Argentina tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,False,False
1994-11-19,Scotland,South Africa,10,34,1994 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland,False,False
1994-11-26,Wales,South Africa,12,20,1994 South Africa tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,False,False
1995-01-21,France,Wales,21,9,1995 Five Nations Championship,Parc des Princes,Paris,France,False,False
1995-01-21,Ireland,England,8,20,1995 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1995-02-04,England,France,31,10,1995 Five Nations Championship,Twickenham,London,England,False,False
1995-02-04,Scotland,Ireland,26,13,1995 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1995-02-18,Wales,England,9,23,1995 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1995-02-18,France,Scotland,21,23,1995 Five Nations Championship,Parc des Princes,Paris,France,False,False
1995-03-04,Ireland,France,7,25,1995 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1995-03-04,Scotland,Wales,26,13,1995 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1995-03-18,England,Scotland,24,12,1995 Five Nations Championship,Twickenham Stadium,London,England,False,False
1995-03-18,Wales,Ireland,12,16,1995 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1995-04-30,Australia,Argentina,53,7,1995 Argentina tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1995-05-06,Italy,Ireland,22,12,,Stadio Comunale di Monigo,Treviso,Italy,False,False
1995-05-06,Australia,Argentina,30,13,1995 Argentina tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1995-05-25,South Africa,Australia,18,27,1995 Rugby World Cup Pool match,Newlands Stadium,Cape Town,South Africa,False,True
1995-05-27,Ireland,New Zealand,19,43,1995 Rugby World Cup,Ellis Park,Johannesburg,South Africa,True,True
1995-05-27,England,Argentina,24,18,1995 Rugby World Cup Pool match,Kings Park Stadium,Durban,South Africa,True,True
1995-05-31,New Zealand,Wales,34,9,1995 Rugby World Cup Pool match,Ellis Park,Johannesburg,South Africa,True,True
1995-05-31,England,Italy,27,20,1995 Rugby World Cup Pool Stage,Kings Park Stadium,Durban,South Africa,True,True
1995-06-03,France,Scotland,22,19,1995 Rugby World Cup,Loftus Versfeld,Pretoria,South Africa,True,True
1995-06-04,Ireland,Wales,24,23,1995 Rugby World Cup,Ellis Park Stadium,Johannesburg,South Africa,True,True
1995-06-04,Argentina,Italy,25,31,1995 Rugby World Cup,Buffalo City Stadium,East London,South Africa,True,True
1995-06-10,France,Ireland,36,12,1995 Rugby World Cup,Kings Park Stadium,Durban,South Africa,True,True
1995-06-11,England,Australia,25,22,1995 Rugby World Cup Quarter-final,Newlands Stadium,Cape Town,South Africa,True,True
1995-06-11,New Zealand,Scotland,48,30,1995 Rugby World Cup Quarter Final,Loftus Versfeld,Pretoria,South Africa,True,True
1995-06-17,South Africa,France,19,15,1995 Rugby World Cup semi-final,Kings Park,Durban,South Africa,False,True
1995-06-18,New Zealand,England,45,29,1995 Rugby World Cup Semi-final,Newlands,Cape Town,South Africa,True,True
1995-06-22,England,France,9,19,1995 Rugby World Cup third-place play-off,Loftus Versfeld,Pretoria,South Africa,True,True
1995-06-24,South Africa,New Zealand,15,12,1995 Rugby World Cup Final,Ellis Park,Johannesburg,South Africa,False,True
1995-07-22,New Zealand,Australia,28,16,1995 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
1995-07-29,Australia,New Zealand,23,34,1995 New Zealand tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1995-09-02,South Africa,Wales,40,11,Wales tour of South Africa,Ellis Park,Johannesburg,South Africa,False,False
1995-10-14,France,Italy,34,22,1st Coupe Latine de Rugby,Ferrocaril Oeste,Buenos Aires,Argentina,True,False
1995-10-17,Argentina,Italy,26,6,,Monumental José Fierro,Tucumán,Argentina,False,False
1995-10-21,Argentina,France,12,47,1995 Latin Cup,Estadio Etcheverry,Buenos Aires,Argentina,False,False
1995-10-28,Italy,New Zealand,6,70,1995 New Zealand rugby union tour of Italy and France,Stadio Renato Dall'Ara,Bologna,Italy,False,False
1995-11-11,France,New Zealand,22,15,1995 New Zealand tour,Stadium Municipal,Toulouse,France,False,False
1995-11-12,Italy,South Africa,21,40,,Stadio Olimpico,Rome,Italy,False,False
1995-11-18,France,New Zealand,12,37,1995 New Zealand tour,Parc des Princes,Paris,France,False,False
1995-11-18,England,South Africa,14,24,,Twickenham,London,England,False,False
1996-01-16,Wales,Italy,31,26,,National Stadium,Cardiff,Wales,False,False
1996-01-20,France,England,15,12,1996 Five Nations Championship,Parc des Princes,Paris,France,False,False
1996-01-20,Ireland,Scotland,10,16,1996 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1996-02-03,Scotland,France,19,14,1996 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1996-02-03,England,Wales,21,15,1996 Five Nations Championship,Twickenham,London,England,False,False
1996-02-17,Wales,Scotland,14,16,1996 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1996-02-17,France,Ireland,45,10,1996 Five Nations Championship,Parc des Princes,Paris,France,False,False
1996-03-02,Scotland,England,9,18,1996 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1996-03-02,Ireland,Wales,30,17,1996 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1996-03-16,Wales,France,16,15,1996 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1996-03-16,England,Ireland,28,15,1996 Five Nations Championship,Twickenham,London,England,False,False
1996-06-09,Australia,Wales,56,25,1996 Wales tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False
1996-06-15,New Zealand,Scotland,62,31,1996 Scotland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False
1996-06-22,Argentina,France,27,34,1996 France tour of Argentina,Estadio Etcheverry,Buenos Aires,Argentina,False,False
1996-06-22,Australia,Wales,42,3,1996 Wales tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
1996-06-22,New Zealand,Scotland,36,12,1996 Scotland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
1996-06-29,Argentina,France,15,34,1996 France tour of Argentina,Estadio Etcheverry,Buenos Aires,Argentina,False,False
1996-07-06,New Zealand,Australia,43,6,1996 Tri Nations Series,Athletic Park,Wellington,New Zealand,False,False
1996-07-13,Australia,South Africa,21,16,1996 Tri Nations Series,Sydney Football Stadium,Sydney,Australia,False,False
1996-07-20,New Zealand,South Africa,15,11,1996 Tri Nations Series,Lancaster Park,Christchurch,New Zealand,False,False
1996-07-27,Australia,New Zealand,25,32,1996 Tri Nations Series,Lang Park,Brisbane,Australia,False,False
1996-08-03,South Africa,Australia,25,19,1996 Tri Nations Series,Free State Stadium,Bloemfontein,South Africa,False,False
1996-08-10,South Africa,New Zealand,18,29,1996 Tri Nations Series,Newlands,Cape Town,South Africa,False,False
1996-08-17,South Africa,New Zealand,19,23,1996 New Zealand tour,Kings Park Stadium,Durban,South Africa,False,False
1996-08-24,South Africa,New Zealand,26,33,1996 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
1996-08-31,South Africa,New Zealand,32,22,1996 New Zealand tour,Ellis Park,Johannesburg,South Africa,False,False
1996-09-25,Wales,France,33,40,1996 France tour of Argentina and Wales,National Stadium,Cardiff,Wales,False,False
1996-10-05,Italy,Wales,22,31,,Stadio Olimpico,Rome,Italy,False,False
1996-10-23,Italy,Australia,18,40,"1996 Australia tour of Great Britain, Ireland and Italy",Stadio Plebiscito,Padua,Italy,False,False
1996-11-09,Scotland,Australia,19,29,"1996 Australia tour of Great Britain, Ireland and Italy",Murrayfield Stadium,Edinburgh,Scotland,False,False
1996-11-09,Argentina,South Africa,15,46,1996 South Africa tour of Argentina and Europe,FC Oeste,Buenos Aires,Argentina,False,False
1996-11-16,Argentina,South Africa,21,44,1996 South Africa tour of Argentina and Europe,FC Oeste,Buenos Aires,Argentina,False,False
1996-11-23,Ireland,Australia,12,22,"1996 Australia tour of Great Britain, Ireland and Italy",Lansdowne Road,Dublin,Ireland,False,False
1996-11-23,England,Italy,54,21,The Save & Prosper International,Twickenham,London,England,False,False
1996-11-30,France,South Africa,12,22,1996 South Africa rugby union tour of Argentina and Europe,Parc Lescure,Bordeaux,France,False,False
1996-12-01,Wales,Australia,19,28,"1996 Australia tour of Great Britain, Ireland and Italy",National Stadium,Cardiff,Wales,False,False
1996-12-07,France,South Africa,12,13,1996 South Africa rugby union tour of Argentina and Europe,Parc des Princes,Paris,France,False,False
1996-12-14,England,Argentina,20,18,1996 Argentina tour of England,Twickenham,London,England,False,False
1996-12-14,Scotland,Italy,29,22,,Murrayfield,Edinburgh,Scotland,False,False
1996-12-15,Wales,South Africa,20,37,1996 South Africa tour of Argentina and Europe,National Stadium,Cardiff,Wales,False,False
1997-01-04,Ireland,Italy,29,37,,Lansdowne Road,Dublin,Ireland,False,False
1997-01-18,Scotland,Wales,19,34,1997 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1997-01-18,Ireland,France,15,32,1997 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1997-02-01,England,Scotland,41,13,1997 Five Nations Championship,Twickenham Stadium,London,England,False,False
1997-02-01,Wales,Ireland,25,26,1997 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1997-02-15,France,Wales,27,22,1997 Five Nations Championship,Parc des Princes,Paris,France,False,False
1997-02-15,Ireland,England,6,46,1997 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1997-03-01,Scotland,Ireland,38,10,1997 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1997-03-01,England,France,20,23,1997 Five Nations Championship,Twickenham,London,England,False,False
1997-03-15,France,Scotland,47,20,1997 Five Nations Championship,Parc des Princes,Paris,France,False,False
1997-03-15,Wales,England,13,34,1997 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1997-03-22,France,Italy,32,40,1995-97 European Cup final,Stade Lesdiguières,Grenoble,France,False,False
1997-05-31,Argentina,England,20,46,1997 England tour of Argentina and Australia,Ferrocarril Stadium,Buenos Aires,Argentina,False,False
1997-06-07,Argentina,England,33,13,1997 England tour of Argentina and Australia,Ferrocarril Stadium,Buenos Aires,Argentina,False,False
1997-06-21,New Zealand,Argentina,93,8,1997 Argentina tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1997-06-21,Australia,France,29,15,1997 France tour of Romania and Australia,Sydney Football Stadium,Sydney,Australia,False,False
1997-06-28,Australia,France,26,19,1997 France tour of Romania and Australia,Ballymore Stadium,Brisbane,Australia,False,False
1997-06-28,New Zealand,Argentina,62,10,1997 Argentina tour of New Zealand,Rugby Park,Hamilton,New Zealand,False,False
1997-07-05,New Zealand,Australia,30,13,1997 Bledisloe Cup I,Lancaster Park,Christchurch,New Zealand,False,False
1997-07-12,Australia,England,25,6,1997 England tour of Argentina and Australia,Sydney Football Stadium,Sydney,Australia,False,False
1997-07-19,South Africa,New Zealand,32,35,1997 Tri Nations Series,Ellis Park,Johannesburg,South Africa,False,False
1997-07-26,Australia,New Zealand,18,33,1997 Tri Nations Series,Melbourne Cricket Ground,Melbourne,Australia,False,False
1997-08-02,Australia,South Africa,32,20,1997 Tri Nations Series,Lang Park,Brisbane,Australia,False,False
1997-08-09,New Zealand,South Africa,55,35,1997 Tri Nations Series,Eden Park,Auckland,New Zealand,False,False
1997-08-16,New Zealand,Australia,36,24,1997 Tri Nations Series,Carisbrook,Dunedin,New Zealand,False,False
1997-08-23,South Africa,Australia,61,22,1997 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
1997-10-18,France,Italy,30,19,2nd Coupe Latine de Rugby,Stade du Moulias,Auch,France,False,False
1997-10-22,Argentina,Italy,18,18,,Stade Antoine-Béguère,Lourdes,France,True,False
1997-10-26,France,Argentina,32,27,1997 Latin Cup,Stade Maurice Trélut,Tarbes,France,False,False
1997-11-01,Argentina,Australia,15,23,1997 Australia tour of Argentina and Great Britain,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,False,False
1997-11-08,Argentina,Australia,18,16,1997 Australia tour of Argentina and Great Britain,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,False,False
1997-11-08,Italy,South Africa,31,62,1997 South Africa rugby union tour of Europe,Stadio Renato Dall'Ara,Bologna,Italy,False,False
1997-11-15,France,South Africa,32,36,1997 South Africa rugby union tour of Europe,Stade de Gerland,Lyon,France,False,False
1997-11-15,England,Australia,15,15,1997 Autumn International,Twickenham Stadium,London,England,False,False
1997-11-15,Ireland,New Zealand,15,63,1997 New Zealand rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False
1997-11-22,France,South Africa,10,52,1997 South Africa rugby union tour of Europe,Parc des Princes,Paris,France,False,False
1997-11-22,England,New Zealand,8,25,1997 New Zealand rugby union tour of Britain and Ireland,Old Trafford,Manchester,England,False,False
1997-11-22,Scotland,Australia,8,37,1997 Australia tour of Argentina and Great Britain,Murrayfield Stadium,Edinburgh,Scotland,False,False
1997-11-29,Wales,New Zealand,7,42,1997 New Zealand tour of Great Britain and Ireland,Wembley Stadium,London,England,True,False
1997-11-29,England,South Africa,11,29,1997 South Africa rugby union tour of Europe,Twickenham,London,England,False,False
1997-12-06,Scotland,South Africa,10,68,1997 South Africa rugby union tour of Europe,Murrayfield,Edinburgh,Scotland,False,False
1997-12-06,England,New Zealand,26,26,1997 New Zealand rugby union tour of Britain and Ireland,Twickenham,London,England,False,False
1997-12-20,Italy,Ireland,37,22,,Stadio Renato Dall'Ara,Bologna,Italy,False,False
1998-01-24,Italy,Scotland,25,21,,Stadio Comunale Monigo,Treviso,Italy,False,False
1998-02-07,Ireland,Scotland,16,17,1998 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1998-02-07,France,England,24,17,1998 Five Nations Championship,Stade de France,Saint-Denis,France,False,False
1998-02-07,Wales,Italy,23,20,,Stradey Park,Llanelli,Wales,False,False
1998-02-21,Scotland,France,16,51,1998 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1998-02-21,England,Wales,60,26,1998 Five Nations Championship,Twickenham,London,England,False,False
1998-03-07,France,Ireland,18,16,1998 Five Nations Championship,Stade de France,Saint-Denis,France,False,False
1998-03-07,Wales,Scotland,19,13,1998 Five Nations Championship,Wembley Stadium,London,England,True,False
1998-03-21,Ireland,Wales,21,30,1998 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1998-03-22,Scotland,England,20,34,1998 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1998-04-04,England,Ireland,35,17,1998 Five Nations Championship,Twickenham,London,England,False,False
1998-04-05,Wales,France,0,51,1998 Five Nations Championship,Wembley Stadium,London,England,True,False
1998-06-06,Australia,England,76,0,"1998 England tour of Australia, New Zealand and South Africa",Lang Park,Brisbane,Australia,False,False
1998-06-13,Argentina,France,18,35,1998 France tour of Argentina and Fiji,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
1998-06-13,Australia,Scotland,45,3,1998 Scotland tour of Australia and Fiji,Sydney Football Stadium,Sydney,Australia,False,False
1998-06-13,South Africa,Ireland,37,13,1998 Ireland rugby union tour of South Africa,Vodacom Park,Bloemfontein,South Africa,False,False
